MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Boro-Block-Lot,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Neighborhood,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Building Classification,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Total Units,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Year Built,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Gross SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Estimated Gross Income,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Gross Income per SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Estimated Expense,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Expense per SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Net Operating Income,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Full Market Value,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Market Value per SqFt,COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1 Neighborhood,COMPARABLE RENTAL 1 Building Classification,COMPARABLE RENTAL 1 Total Units,COMPARABLE RENTAL 1 Year Built,COMPARABLE RENTAL 1 Gross SqFt,COMPARABLE RENTAL 1 Estimated Gross Income,COMPARABLE RENTAL 1 Gross Income per SqFt,COMPARABLE RENTAL 1 Estimated Expense,COMPARABLE RENTAL 1 Expense per SqFt,COMPARABLE RENTAL 1 Net Operating Income,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1 Market Value per SqFt,COMPARABLE RENTAL 1 Distance from Coop in miles,COMPARABLE RENTAL 2 Boro-Block-Lot,COMPARABLE RENTAL 2 Address,COMPARABLE RENTAL 2 Neighborhood,COMPARABLE RENTAL 2 Building Classification,COMPARABLE RENTAL 2 Total Units,COMPARABLE RENTAL 2 Year Built,COMPARABLE RENTAL 2 Gross SqFt,COMPARABLE RENTAL 2 Estimated Gross Income,COMPARABLE RENTAL 2 Gross Income per SqFt,COMPARABLE RENTAL 2 Estimated Expense,COMPARABLE RENTAL 2 Expense per SqFt,COMPARABLE RENTAL 2 Net Operating Income,COMPARABLE RENTAL 2 Full Market Value,COMPARABLE RENTAL 2 Market Value per SqFt,COMPARABLE RENTAL 2 Distance from Coop in miles,COMPARABLE RENTAL 3 Boro-Block-Lot,COMPARABLE RENTAL 3 Address,COMPARABLE RENTAL 3 Neighborhood,COMPARABLE RENTAL 3 Building Classification,COMPARABLE RENTAL 3 Total Units,COMPARABLE RENTAL 3 Year Built,COMPARABLE RENTAL 3 Gross SqFt,COMPARABLE RENTAL 3 Estimated Gross Income,COMPARABLE RENTAL 3 Gross Income per SqFt,COMPARABLE RENTAL 3 Estimated Expense,COMPARABLE RENTAL 3 Expense per SqFt,COMPARABLE RENTAL 3 Net Operating Income,COMPARABLE RENTAL 3 Full Market Value,COMPARABLE RENTAL 3 Market Value per SqFt,COMPARABLE RENTAL 3 Distance from Coop in miles
1-01122-0040,"18 70 STREET
New York, NY
(40.637661178851, -74.034832789974)",1,,,,,,,,,,UPPER WEST SIDE (59-79),D4-ELEVATOR,56,1926,60300,2015226,33.42,633753,10.51,1381473,10261000,170.17,1-01124-0013,"41 71 STREET
New York, NY
(40.636186848684, -74.03495496965)",UPPER WEST SIDE (59-79),D9-ELEVATOR,29,1929,20700,619100,29.91,194174,9.38,424926,3183000,153.77,0.1,1-01125-0061,"46 73 STREET
New York, NY
(40.634471520203, -74.034229710431)",UPPER WEST SIDE (59-79),D9-ELEVATOR,36,1925,22788,761565,33.42,239587,10.51,521978,3877000,170.13,0.15,1-01126-0038,8 WEST 74 STREET,UPPER WEST SIDE (59-79),D1-ELEVATOR,86,1941,"71,890","3,178,795",44.22,"794,441",11.05,"2,384,354","17,953,000",249.73,0.2
1-00555-0028,"30 3 AVENUE
New York, NY
(40.730459116002, -73.989244294038)",1,10003,40.730263,-73.989381,3,2,42,1008962,1005550028,East Village                                                               ,GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,269,1965,261940,8960967,34.21,2281497,8.71,6679470,49500000,188.97,1-00556-0001,"85 4 AVENUE
New York, NY
(40.731711046349, -73.990230847788)",GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,164,1959,156465,4725251,30.2,1607446,10.27,3117805,23346000,149.21,0.05,1-00466-0005,"55 3 AVENUE
New York, NY
(40.731142600744, -73.988749666921)",EAST VILLAGE,D7-ELEVATOR,58,1986,71356,2727060,38.22,509602,7.14,2217458,12870000,180.36,0.11,, , , , , , , , , , , , , , 
1-02009-0033,"100 141 STREET
New York, NY
(40.817931884065, -73.938256733375)",1,,,,,,,,,,HARLEM-CENTRAL,D4-ELEVATOR,56,1920,65036,738159,11.35,388265,5.97,349894,2251000,34.61,1-02009-0012,"151 140 STREET
New York, NY
(40.817912610938, -73.939974270419)",HARLEM-CENTRAL,D1-ELEVATOR,55,1903,70509,439165,6.23,288011,4.08,151154,899000,12.75,0,1-02011-0038,"102 143 STREET
New York, NY
(40.819199877256, -73.93738672362)",HARLEM-CENTRAL,D1-ELEVATOR,91,1920,103248,1578753,15.29,786134,7.61,792619,4935000,47.8,0.1,1-02026-0029,2400 ADAM C POWELL BOULEV,HARLEM-CENTRAL,D7-ELEVATOR,57,1905,"58,569","672,372",11.48,"383,041",6.54,"289,331","1,397,000",23.85,0.17
1-01166-0058,"250 75 STREET
New York, NY
(40.631748721078, -74.029118716326)",1,,,,,,,,,,UPPER WEST SIDE (59-79),D4-ELEVATOR,36,1922,38277,1192329,31.15,297030,7.76,895299,6686000,174.67,1-01167-0007,"245 75 STREET
New York, NY
(40.63183778985, -74.029251897674)",UPPER WEST SIDE (59-79),D1-ELEVATOR,48,1924,24840,1015948,40.9,345742,13.92,670206,5062000,203.78,0.05,1-01167-0059,"252 76 STREET
New York, NY
(40.63103412353, -74.029348511657)",UPPER WEST SIDE (59-79),D9-ELEVATOR,61,1903,50600,1150728,22.74,345967,6.84,804761,5880000,116.21,0.05,1-01184-0089,306 WEST 75 STREET,UPPER WEST SIDE (59-79),D1-ELEVATOR,30,1920,"20,130","627,145",31.15,"156,190",7.76,"470,955","3,517,000",174.71,0.1
1-00550-0023,"4 8 STREET
New York, NY
(40.573464900028, -74.115586450971)",1,,,,,,,,,,GREENWICH VILLAGE-CENTRAL,C6-WALK-UP,11,1930,11472,421596,36.75,145580,12.69,276016,2033000,177.21,1-00572-0053,"19 8 STREET
New York, NY
(40.573194655672, -74.115934038587)",GREENWICH VILLAGE-CENTRAL,C7-WALK-UP,9,1920,7263,249048,34.29,,,249048,3300000,454.36,0.16,1-00569-0008,"4 12 STREET
New York, NY
(40.671421659171, -73.996290459528)",GREENWICH VILLAGE-CENTRAL,C7-WALK-UP,8,1900,6250,258170,41.31,65588,10.49,192582,3421000,547.36,0.22,, , , , , , , , , , , , , , 
1-01011-0042,"120 CENTRAL PARK
New York, NY
(40.765928957751, -73.976890159555)",1,10000,40.782295,-73.965126,64,6,143,1000000,1011110001,park-cemetery-etc-Manhattan                                                ,MIDTOWN WEST,D4-ELEVATOR,119,1941,98493,3060178,31.07,940608,9.55,2119570,15831000,160.73,1-01011-0025,"117 58 STREET
New York, NY
(40.645683974835, -74.023403405553)",MIDTOWN WEST,D9-ELEVATOR,102,1900,66173,2091041,31.6,669458,10.12,1421583,10606000,160.28,0,1-01010-0046,"134 58 STREET
New York, NY
(40.645412731398, -74.02306553273)",MIDTOWN WEST,D7-ELEVATOR,121,1930,61791,1887336,30.54,554759,8.98,1332577,9964000,161.25,0.05,, , , , , , , , , , , , , , 
1-01895-0069,"622 114 STREET
New York, NY
(40.806916381958, -73.965432841654)",1,,,,,,,,,,UPPER WEST SIDE (96-116),D4-ELEVATOR,39,1905,32575,687007,21.09,299690,9.2,387317,2843000,87.28,1-01885-0027,"507 113 STREET
New York, NY
(40.805011781589, -73.96268590192)",UPPER WEST SIDE (96-116),D3-ELEVATOR,33,1910,27184,580015,21.34,243182,8.95,336833,2471000,90.9,0.15,1-01885-0015,"533 113 STREET
New York, NY
(40.805298859861, -73.963372198414)",UPPER WEST SIDE (96-116),D3-ELEVATOR,32,1915,27509,573083,20.83,259617,9.44,313466,2302000,83.68,0.15,, , , , , , , , , , , , , , 
1-01384-0069,"884 5 AVENUE
New York, NY
(40.771018539523, -73.968056267027)",1,10021,40.7709,-73.968157,8,4,122,1041322,1013840069,Upper East Side-Carnegie Hill                                              ,UPPER EAST SIDE (59-79),D4-ELEVATOR,19,1927,71697,2906596,40.54,895496,12.49,2011100,15194000,211.92,1-01385-0060,"16 71 STREET
New York, NY
(40.636381010424, -74.03599511464)",UPPER EAST SIDE (59-79),C5-WALK-UP,17,1930,12060,561272,46.54,185242,15.36,376030,2827000,234.41,0.05,1-01385-0014,"17 70 STREET
New York, NY
(40.637719298798, -74.034830798671)",UPPER EAST SIDE (59-79),D5-ELEVATOR,14,1920,12075,277980,23.02,72374,5.99,205606,1501000,124.31,0.05,1-01383-0012,9 EAST 68 STREET,UPPER EAST SIDE (59-79),D7-ELEVATOR,19,1910,"19,975","809,832",40.54,"249,420",12.49,"560,412","4,234,000",211.96,0.05
1-01576-0005,"505 79 STREET
New York, NY
(40.626467225026, -74.023729066502)",1,,,,,,,,,,UPPER EAST SIDE (79-96),D4-ELEVATOR,210,1963,260000,8798400,33.84,3003000,11.55,5795400,43012000,165.43,1-01559-0019,"1493 YORK AVENUE
New York, NY
(40.771720010706, -73.950195731525)",UPPER EAST SIDE (79-96),D6-ELEVATOR,250,1956,277073,11271330,40.68,3258378,11.76,8012952,55418000,200.01,0.14,1-01547-0023,"351 84 STREET
New York, NY
(40.624709467036, -74.029033943208)",UPPER EAST SIDE (79-96),D6-ELEVATOR,187,1970,261150,8168036,31.28,2589964,9.92,5578072,41643000,159.46,0.37,, , , , , , , , , , , , , , 
1-00528-0033,"44 DOWNING STREET
New York, NY
(40.729128119398, -74.004307938028)",1,10014,40.729162,-74.004225,2,3,67,1008416,1005280033,West Village                                                               ,GREENWICH VILLAGE-WEST,C6-WALK-UP,20,1900,14227,275577,19.37,112678,7.92,162899,1168000,82.1,1-00353-0024,"129 RIVINGTON STREET
New York, NY
(40.719631278769, -73.986906056761)",LOWER EAST SIDE,C7-WALK-UP,19,1930,14497,198771,13.71,106195,7.33,92576,460000,31.73,1.1,1-00866-0009,"9 36 STREET
New York, NY
(40.656888222311, -74.008625189749)",MURRAY HILL,D7-ELEVATOR,18,1925,13290,332343,25.01,100822,7.59,231521,1681000,126.49,1.81,, , , , , , , , , , , , , , 
1-00940-0048,"320 35 STREET
New York, NY
(40.753174491696, -73.993808615646)",1,,,,,,,,,,KIPS BAY,D4-ELEVATOR,51,1959,30000,1044300,34.81,311400,10.38,732900,5424000,180.8,1-00940-0017,"327 34 STREET
New York, NY
(40.756053999992, -73.986951000288)",KIPS BAY,D9-ELEVATOR,29,1920,21000,758160,36.1,226080,10.77,532080,3925000,186.9,0,1-00916-0041,"236 36 STREET
New York, NY
(40.655946024054, -74.007169026834)",MURRAY HILL,D9-ELEVATOR,145,1963,95057,3186414,33.52,948901,9.98,2237513,16616000,174.8,0.15,, , , , , , , , , , , , , , 
1-01143-0039,"118 72 STREET
New York, NY
(40.634802619258, -74.032485077881)",1,,,,,,,,,,UPPER WEST SIDE (59-79),D4-ELEVATOR,45,1915,26911,1001358,37.21,321586,11.95,679772,5001000,185.83,1-01143-0042,"124 72 STREET
New York, NY
(40.634780881358, -74.032396314788)",UPPER WEST SIDE (59-79),D6-ELEVATOR,53,1916,40982,1099892,26.84,381002,9.3,718890,5196000,126.79,0,1-01124-0056,"42 72 STREET
New York, NY
(40.635545037273, -74.03562689196)",UPPER WEST SIDE (59-79),D6-ELEVATOR,51,1920,24607,1028637,41.8,268184,10.9,760453,5740000,233.27,0.17,1-01141-0013,2020 BROADWAY,UPPER WEST SIDE (59-79),D7-ELEVATOR,64,1900,"48,606","1,808,507",37.21,"581,033",11.95,"1,227,474","9,030,000",185.78,0.1
1-01407-0026,"153 72 STREET
New York, NY
(40.634590450293, -74.03135788784)",1,,,,,,,,,,UPPER EAST SIDE (59-79),D4-ELEVATOR,40,1929,98373,3335828,33.91,985697,10.02,2350131,17439000,177.27,1-01409-0021,"1033 LEXINGTON AVENUE
New York, NY
(40.771908868332, -73.961122494181)",UPPER EAST SIDE (59-79),D6-ELEVATOR,35,1923,71189,2336130,32.82,868302,12.2,1467828,10916000,153.34,0.1,1-01409-0042,"192 75 STREET
New York, NY
(40.632130015803, -74.030723663133)",UPPER EAST SIDE (59-79),D6-ELEVATOR,43,1927,40249,1408542,35,315371,7.84,1093171,8088000,200.95,0.1,, , , , , , , , , , , , , , 
1-01378-0033,"580 PARK AVENUE
New York, NY
(40.765802471753, -73.9678224433)",1,10065,40.765636,-73.967824,8,4,122,1041036,1013780033,Upper East Side-Carnegie Hill                                              ,UPPER EAST SIDE (59-79),D4-ELEVATOR,53,1923,183919,5535962,30.1,1565151,8.51,3970811,29737000,161.69,1-01380-0014,"19 65 STREET
New York, NY
(40.640591118576, -74.025600501183)",UPPER EAST SIDE (59-79),D6-ELEVATOR,19,1928,16000,495077,30.94,122324,7.65,372753,2651000,165.69,0.13,1-01375-0129,"43 60 STREET
New York, NY
(40.643271963978, -74.02239255177)",UPPER EAST SIDE (59-79),D9-ELEVATOR,21,1910,17296,688208,39.79,234015,13.53,454193,3433000,198.49,0.15,, , , , , , , , , , , , , , 
1-01993-0096,"200 CLAREMONT AVENUE
New York, NY
(40.815292163026, -73.959890423001)",1,10027,40.815354,-73.95983,9,7,211,1059859,1019930096,Morningside Heights                                                        ,MORNINGSIDE HEIGHTS,D4-ELEVATOR,45,1926,55062,819873,14.89,400301,7.27,419572,2892000,52.52,1-01943-0001,"20 MORNINGSIDE AVENUE
New York, NY
(40.805858274938, -73.958046812841)",HARLEM-CENTRAL,D1-ELEVATOR,109,1900,103528,2250722,21.74,788008,7.61,1462714,7500000,72.44,0.63,1-01955-0026,"2411 FRED
New York, NY
(40.756053999992, -73.986951000288)",HARLEM-CENTRAL,D3-ELEVATOR,205,1980,202280,3011949,14.89,1595989,7.89,1415960,9225000,45.61,0.54,1-01937-0001,2450 FRED DOUGLASS BOULEV,HARLEM-CENTRAL,D7-ELEVATOR,48,1972,"59,880","852,467",14.24,"462,036",7.72,"390,431","2,445,000",40.83,0.68
1-02241-0018,"624 207 STREET
New York, NY
(40.756053999992, -73.986951000288)",1,,,,,,,,,,INWOOD,C6-WALK-UP,20,1916,18520,272614,14.72,154272,8.33,118342,817000,44.11,1-02234-0045,"645 ACADEMY STREET
New York, NY
(40.86578010175, -73.924654985893)",INWOOD,C1-WALK-UP,21,1917,17905,261378,14.6,160892,8.99,100486,694000,38.76,0.13,1-02242-0065,"623 207 STREET
New York, NY
(40.756053999992, -73.986951000288)",INWOOD,C7-WALK-UP,27,1925,23035,341839,14.84,181285,7.87,160554,1100000,47.75,0.09,, , , , , , , , , , , , , , 
1-01245-0080,"316 84 STREET
New York, NY
(40.624862692364, -74.029943774704)",1,,,,,,,,,,UPPER WEST SIDE (79-96),D4-ELEVATOR,41,1949,51450,1196727,23.26,353462,6.87,843265,6153000,119.59,1-01229-0006,"265 81 STREET
New York, NY
(40.627355969617, -74.030515608048)",UPPER WEST SIDE (79-96),D3-ELEVATOR,36,1900,41137,1236899,30.07,372536,9.06,864363,6474000,157.38,0.14,1-01247-0010,"355 85 STREET
New York, NY
(40.624010201093, -74.029215846118)",UPPER WEST SIDE (79-96),D3-ELEVATOR,73,1910,40937,1197753,29.26,491750,12.01,706003,5296000,129.37,0.1,1-01210-0012,147 WEST 79 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,61,1926,"76,193","2,491,263",32.7,"820,130",10.76,"1,671,133","12,431,000",163.15,0.38
1-01432-0005,"205 77 STREET
New York, NY
(40.630630899137, -74.030862123783)",1,,,,,,,,,,UPPER EAST SIDE (59-79),D4-ELEVATOR,113,1962,77928,2698647,34.63,734861,9.43,1963786,14141000,181.46,1-01490-0122,"555 78 STREET
New York, NY
(40.626474707903, -74.022244986526)",UPPER EAST SIDE (59-79),D3-ELEVATOR,87,1940,75854,2626762,34.63,919472,12.12,1707290,12641000,166.65,0.43,1-01439-0042,"320 65 STREET
New York, NY
(40.639012777796, -74.023091666562)",UPPER EAST SIDE (59-79),D3-ELEVATOR,71,1930,58325,2287554,39.22,428223,7.34,1859331,14061000,241.08,0.66,1-01473-0038,420 EAST 79 STREET,UPPER EAST SIDE (59-79),D3-ELEVATOR,112,1959,"113,820","3,455,427",30.36,"1,286,283",11.3,"2,169,144","16,224,000",142.54,0.28
1-01520-0140,"170 92 STREET
New York, NY
(40.620111086822, -74.036230821898)",1,,,,,,,,,,UPPER EAST SIDE (79-96),D4-ELEVATOR,20,1920,12778,425891,33.33,108613,8.5,317278,2357000,184.46,1-01519-0012,"123 90 STREET
New York, NY
(40.789981897482, -73.972481096681)",UPPER EAST SIDE (79-96),C4-WALK-UP,15,1923,10235,359690,35.14,85739,8.38,273951,2026000,197.95,0.05,1-01519-0013,"125 90 STREET
New York, NY
(40.790062858411, -73.972671592984)",UPPER EAST SIDE (79-96),C7-WALK-UP,16,1923,10235,422808,41.31,143802,14.05,279006,2107000,205.86,0.05,1-01518-0007,107 EAST 89 STREET,UPPER EAST SIDE (79-96),C5-WALK-UP,19,1910,"9,810","344,148",35.08,"78,710",8.02,"265,438","1,964,000",200.2,0.1
1-02155-0019,"2440 AMSTERDAM AVENUE
New York, NY
(40.848450166246, -73.930644470608)",1,10033,40.848178,-73.930855,12,10,269,1063700,1021550019,Washington Heights North                                                   ,WASHINGTON HEIGHTS UPPER,D4-ELEVATOR,78,1923,71305,882756,12.38,449222,6.3,433534,2745000,38.5,1-02038-0005,"263 152 STREET
New York, NY
(40.827020625175, -73.938087399834)",HARLEM-CENTRAL,C1-WALK-UP,35,1920,20772,278387,13.4,174469,8.4,103918,689000,33.17,1.53,1-02026-0029,"2400 ADAM
New York, NY
(40.756053999992, -73.986951000288)",HARLEM-CENTRAL,D7-ELEVATOR,57,1905,58569,672372,11.48,383041,6.54,289331,1397000,23.85,2.12,, , , , , , , , , , , , , , 
1-01410-0005,"103 75 STREET
New York, NY
(40.632733532435, -74.033015558456)",1,,,,,,,,,,UPPER EAST SIDE (59-79),D4-ELEVATOR,28,1920,64853,2693345,41.53,916373,14.13,1776972,13415000,206.85,1-01409-0042,"192 75 STREET
New York, NY
(40.632130015803, -74.030723663133)",UPPER EAST SIDE (59-79),D6-ELEVATOR,43,1927,40249,1408542,35,315371,7.84,1093171,8088000,200.95,0.1,1-01412-0012,"117 77 STREET
New York, NY
(40.631199887925, -74.033238618216)",UPPER EAST SIDE (59-79),D3-ELEVATOR,40,1929,29500,1384419,46.93,380450,12.9,1003969,7545000,255.76,0.1,1-01406-0054,993 LEXINGTON AVENUE,UPPER EAST SIDE (59-79),D7-ELEVATOR,39,1914,"73,396","3,048,279",41.53,"1,037,156",14.13,"2,011,123","15,183,000",206.86,0.23
1-02070-0029,"1580 AMSTERDAM AVENUE
New York, NY
(40.820993864691, -73.950708345082)",1,10031,40.821059,-73.950672,9,7,225,1079852,1020700029,Hamilton Heights                                                           ,HARLEM-WEST,D4-ELEVATOR,42,1905,53984,565212,10.47,310408,5.75,254804,1583000,29.32,1-02026-0029,"2400 ADAM
New York, NY
(40.756053999992, -73.986951000288)",HARLEM-CENTRAL,D7-ELEVATOR,57,1905,58569,672372,11.48,383041,6.54,289331,1397000,23.85,0.49,1-01914-0024,"115 129 STREET
New York, NY
(40.792816873379, -73.838832328342)",HARLEM-CENTRAL,D1-ELEVATOR,23,1910,21192,203179,9.59,116989,5.52,86190,509000,24.02,0.79,, , , , , , , , , , , , , , 
1-00801-0030,"107 25 STREET
New York, NY
(40.601968029517, -73.999745958799)",1,,,,,,,,,,CHELSEA,D0-ELEVATOR,27,1905,41042,1332223,32.46,306994,7.48,1025229,7630000,185.91,1-00764-0007,"253 14 STREET
New York, NY
(40.666121460444, -73.988644068794)",CHELSEA,D9-ELEVATOR,47,1930,39628,1496883,37.77,481589,12.15,1015294,7686000,193.95,0.55,1-00798-0054,"118 23 STREET
New York, NY
(40.602777616053, -74.001405126871)",CHELSEA,D7-ELEVATOR,44,1987,48539,1791251,36.9,518559,10.68,1272692,9370000,193.04,0.15,, , , , , , , , , , , , , , 
1-01448-0003,"1408 2 AVENUE
New York, NY
(40.769822441224, -73.957606145047)",1,10021,40.769703,-73.957695,8,5,126,1044898,1014480003,Lenox Hill-Roosevelt Island                                                ,UPPER EAST SIDE (59-79),D4-ELEVATOR,243,1967,350000,11399500,32.57,4217500,12.05,7182000,53438000,152.68,1-01465-0001,"1306 1 AVENUE
New York, NY
(40.766881658188, -73.956661856916)",UPPER EAST SIDE (59-79),D7-ELEVATOR,429,1979,357785,16480716,46.06,3679311,10.28,12801405,96258000,269.04,0.21,1-01426-0044,"206 72 STREET
New York, NY
(40.63408576797, -74.029467805907)",UPPER EAST SIDE (59-79),D6-ELEVATOR,442,1979,377297,18683167,49.52,4250934,11.27,14432233,108171000,286.7,0.18,1-01468-0021,1385 YORK AVENUE,UPPER EAST SIDE (59-79),D6-ELEVATOR,293,1969,"409,942","13,766,750",33.58,"3,783,012",9.23,"9,983,738","74,135,000",180.84,0.14
1-02180-0315,"4395 BROADWAY
New York, NY
(40.85471844079, -73.933513307882)",1,10040,40.854781,-73.933509,12,10,279,1064444,1021800315,Washington Heights North                                                   ,WASHINGTON HEIGHTS UPPER,D4-ELEVATOR,60,1940,58242,821212,14.1,359353,6.17,461859,3205000,55.03,1-02170-0037,"4410 BROADWAY
New York, NY
(40.85501521706, -73.933423375679)",WASHINGTON HEIGHTS UPPER,D1-ELEVATOR,54,1939,52038,764959,14.7,405376,7.79,359583,2482000,47.7,0.09,1-02180-0473,"182 BENNETT AVENUE
New York, NY
(40.85624728824, -73.933971962117)",WASHINGTON HEIGHTS UPPER,D1-ELEVATOR,60,1940,60654,933071,15.38,468774,7.73,464297,2651000,43.71,0.12,1-02180-0406,660 FT WASHINGTON AVENUE,WASHINGTON HEIGHTS UPPER,D1-ELEVATOR,60,1920,"68,108","976,129",14.33,"371,767",5.46,"604,362","4,050,000",59.46,0.13
1-01947-0001,"371 120 STREET
New York, NY
(40.807893098771, -73.955582441458)",1,,,,,,,,,,HARLEM-CENTRAL,C6-WALK-UP,15,1901,17255,231907,13.44,126479,7.33,105428,698000,40.45,1-01847-0061,"302 114 STREET
New York, NY
(40.803133703591, -73.956446899549)",MANHATTAN VALLEY,C4-WALK-UP,20,1900,8915,124619,13.98,77445,8.69,47174,298000,33.43,0.36,1-01966-0047,"445 125 STREET
New York, NY
(40.792732017504, -73.842567920322)",HARLEM-WEST,C7-WALK-UP,25,1901,18977,244806,12.9,147091,7.75,97715,652000,34.36,0.31,, , , , , , , , , , , , , , 
1-02180-0628,"730 FT WASHINGTON AVENUE
New York, NY
(40.858423647551, -73.934628467198)",1,10040,40.858256,-73.934734,12,10,281,1064476,1021800628,Washington Heights North                                                   ,WASHINGTON HEIGHTS UPPER,D4-ELEVATOR,84,1939,102150,1507734,14.76,576126,5.64,931608,6427000,62.92,1-02180-0486,"179 BENNETT AVENUE
New York, NY
(40.856229301799, -73.933980955337)",WASHINGTON HEIGHTS UPPER,D6-ELEVATOR,95,1960,80927,1223381,15.12,449161,5.55,774220,5324000,65.79,0.07,1-02180-0497,"195 BENNETT AVENUE
New York, NY
(40.856598023831, -73.933783104491)",WASHINGTON HEIGHTS UPPER,D7-ELEVATOR,58,1939,54595,785929,14.4,313027,5.73,472902,3274000,59.97,0.07,, , , , , , , , , , , , , , 
1-00094-0001,"80 GOLD STREET
New York, NY
(40.710233363563, -74.004262971927)",1,10038,40.709938,-74.004498,1,1,1501,1083354,1000940001,Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,D4-ELEVATOR,1664,1971,2075590,36447360,17.56,18680310,9,17767050,128180000,61.76,1-00341-0058,"410 GRAND STREET
New York, NY
(40.715872112686, -73.986321497442)",LOWER EAST SIDE,D6-ELEVATOR,404,1972,225000,2723730,12.11,1579119,7.02,1144611,7280000,32.36,1.05,1-00336-0001,"16 BIALYSTOKER PLACE
New York, NY
(40.715825756457, -73.982822220463)",LOWER EAST SIDE,D3-ELEVATOR,128,1982,98052,1957118,19.96,919728,9.38,1037390,7420000,75.67,1.14,1-00460-0001,1 COOPER SQUARE,EAST VILLAGE,D9-ELEVATOR,153,1985,"122,689","2,458,276",20.04,"1,106,655",9.02,"1,351,621","7,725,000",62.96,1.38
1-01763-0001,"2289 5 AVENUE
New York, NY
(40.815067332518, -73.935959463802)",1,10037,40.815052,-73.935936,11,9,210,1054344,1017630001,East Harlem North                                                          ,HARLEM-CENTRAL,D4-ELEVATOR,634,1970,370814,5580751,15.05,2443664,6.59,3137087,16800000,45.31,1-01959-0001,"2491 FRED
New York, NY
(40.756053999992, -73.986951000288)",HARLEM-CENTRAL,D6-ELEVATOR,261,1975,331448,4986929,15.05,2183611,6.59,2803318,11460000,34.58,0.67,1-01958-0001,"410 ST NICHOLAS AVENUE
New York, NY
(40.814087071506, -73.949656138308)",HARLEM-CENTRAL,D7-ELEVATOR,316,1926,336334,5375807,15.98,2484244,7.39,2891563,18419000,54.76,0.71,1-01740-0007,646 LENOX AVENUE,HARLEM-CENTRAL,D1-ELEVATOR,134,1970,"129,386","1,538,832",11.89,"926,587",7.16,"612,245","3,907,000",30.2,0.24
1-00187-0030,"105 HUDSON STREET
New York, NY
(40.719496380464, -74.00866964987)",1,10013,40.719396,-74.00869,1,1,39,1083366,1001870030,SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,D0-ELEVATOR,32,1920,89724,2651344,29.55,822769,9.17,1828575,13710000,152.8,1-00179-0032,"176 BROADWAY
New York, NY
(40.710008533055, -74.009784809187)",TRIBECA,D6-ELEVATOR,17,2008,52930,1622305,30.65,501776,9.48,1120529,8377000,158.27,0.12,1-00220-0027,"36 LAIGHT STREET
New York, NY
(40.721971207614, -74.007866829182)",TRIBECA,D7-ELEVATOR,13,1900,26712,853854,31.97,271026,10.15,582828,4345000,162.66,0.21,, , , , , , , , , , , , , , 
1-00529-0001,"644 BROADWAY
New York, NY
(40.726636997377, -73.995710419428)",1,10012,40.726626,-73.99575,2,1,5502,1008418,1005290001,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,D0-ELEVATOR,16,1900,55065,2094673,38.04,724105,13.15,1370568,10374000,188.4,1-00522-0014,"640 BROADWAY
New York, NY
(40.726439146531, -73.995881290614)",GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,31,1900,46080,1007446,21.86,404204,8.77,603242,4419000,95.9,0.06,1-00521-0001,"298 MULBERRY STREET
New York, NY
(40.724832389507, -73.994924195416)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4796231,55.29,1085778,12.52,3710453,27675000,319.03,0.09,1-00548-0001,1 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,272,1930,"218,985","8,330,796",38.04,"2,880,610",13.15,"5,450,186","41,252,000",188.38,0.3
